0,0, 3.16707, 3.1395, 3.15144, 3.16845, 3.13007, 3.20318, 3.16153, 3.14851
0,1, 3.16707, 3.1395, 3.15144, 3.16845, 3.13007, 3.20318, 3.16153, 3.14851
0,2, 2.39552, 2.38776, 2.37775, 2.41415, 2.36964, 2.42821, 2.39387, 2.39681
0,3, 2.14305, 2.1224, 2.11187, 2.15767, 2.12654, 2.15823, 2.13301, 2.13344
0,4, 1.86253, 1.86402, 1.83643, 1.86994, 1.86292, 1.86994, 1.86398, 1.86193
0,5, 1.57428, 1.58036, 1.56671, 1.58304, 1.59406, 1.59706, 1.58352, 1.5978
0,6, 1.41236, 1.39512, 1.3905, 1.40933, 1.42228, 1.4173, 1.40723, 1.42472
0,7, 1.41236, 1.39512, 1.3905, 1.40933, 1.42228, 1.4173, 1.40713, 1.42472
0,8, 1.40937, 1.39195, 1.38806, 1.40806, 1.42057, 1.41391, 1.40449, 1.4226
0,9, 0, 0, 0, 0, 0, 0, 0, 0
0,10, 0, 0, 0, 0, 0, 0, 0, 0
0,11, 0, 0, 0, 0, 0, 0, 0, 0
1,0, 2150.34, 2145.24, 2149.03, 2147.06, 2148.1, 2149.52, 2139.53, 2156.13
1,1, 2150.34, 2145.24, 2149.03, 2147.06, 2148.1, 2149.52, 2139.53, 2156.13
1,2, 324.957, 325.091, 324.847, 325.493, 323.276, 324.466, 323.466, 325.962
1,3, 50.1496, 50.879, 51.0703, 51.3135, 50.0127, 50.6428, 49.6038, 51.8773
1,4, 4.43071, 4.69922, 4.32116, 4.75129, 4.3637, 4.50455, 4.42808, 4.85562
1,5, 2.53101, 2.58786, 2.38076, 2.54381, 2.39787, 2.45265, 2.49929, 2.57658
1,6, 1.32283, 1.51496, 1.32715, 1.41503, 1.2967, 1.33186, 1.31826, 1.34822
1,7, 1.32283, 1.51496, 1.32715, 1.41503, 1.2967, 1.33186, 1.31826, 1.34822
1,8, 1.32268, 1.50316, 1.30816, 1.40877, 1.28007, 1.31599, 1.30832, 1.33757
1,9, 0, 0, 0, 0, 0, 0, 0, 0
1,10, 0, 0, 0, 0, 0, 0, 0, 0
1,11, 0, 0, 0, 0, 0, 0, 0, 0
2,0, 663.774, 662.275, 660.161, 662.045, 659.567, 658.413, 662.781, 661.002
2,1, 663.774, 662.275, 660.161, 662.045, 659.567, 658.413, 662.781, 661.002
2,2, 73.9695, 74.1678, 73.1498, 73.7715, 73.3858, 72.4384, 73.4206, 74.0491
2,3, 10.759, 11.1204, 10.7801, 10.7397, 10.6046, 10.5542, 10.6771, 10.9506
2,4, 1.04194, 1.16153, 0.991933, 1.06375, 1.07551, 1.05517, 1.04539, 1.03683
2,5, 0.577325, 0.632904, 0.527075, 0.56608, 0.601981, 0.596615, 0.533666, 0.580692
2,6, 0.307845, 0.374405, 0.30134, 0.339343, 0.352805, 0.318523, 0.308349, 0.331152
2,7, 0.307845, 0.374405, 0.30134, 0.339343, 0.352805, 0.318523, 0.308349, 0.331152
2,8, 0.306316, 0.374251, 0.300781, 0.330086, 0.352769, 0.310687, 0.306726, 0.328734
2,9, 0, 0, 0, 0, 0, 0, 0, 0
2,10, 0, 0, 0, 0, 0, 0, 0, 0
2,11, 0, 0, 0, 0, 0, 0, 0, 0
3,0, 1471.54, 1479.18, 1500.88, 1475.12, 1492.79, 1493.23, 1478.58, 1472.08
3,1, 1471.54, 1479.18, 1500.88, 1475.12, 1492.79, 1493.23, 1478.58, 1472.08
3,2, 231.142, 229.798, 237.112, 233.895, 237.557, 234.533, 231.003, 229.804
3,3, 69.5703, 69.4882, 71.372, 71.1442, 74.3773, 71.0364, 71.6947, 69.3248
3,4, 6.14721, 6.13751, 6.51016, 6.41202, 7.30443, 6.57897, 6.72421, 6.78016
3,5, 3.62361, 3.65816, 3.48237, 3.34916, 3.92068, 3.48762, 3.61448, 3.81743
3,6, 2.06596, 2.30474, 1.76497, 1.71572, 2.18953, 2.08492, 2.16792, 1.98624
